omp_num_threads,graph,order,size,time,iterations,error,technique
"32","web-BerkStan","685230","7600595","141.624","63","2.2007e-10","pagerankHybrid"
"48","web-BerkStan","685230","7600595","107.469","63","0","pagerankUniform"
"48","web-BerkStan","685230","7600595","132.635","63","0","pagerankHybrid"
"2","web-Google","916428","5105039","891.934","61","0","pagerankUniform"
"2","web-Google","916428","5105039","902.009","61","1.4465e-8","pagerankHybrid"
"4","web-Google","916428","5105039","457.871","61","0","pagerankUniform"
"4","web-Google","916428","5105039","500.167","61","1.0246e-8","pagerankHybrid"
"8","web-Google","916428","5105039","242.695","61","0","pagerankUniform"
"8","web-Google","916428","5105039","288.008","61","3.7667e-8","pagerankHybrid"
"16","web-Google","916428","5105039","134.883","61","0","pagerankUniform"
"16","web-Google","916428","5105039","182.194","61","3.9673e-8","pagerankHybrid"
"28","web-Google","916428","5105039","127.796","61","0","pagerankUniform"
"28","web-Google","916428","5105039","181.139","61","3.8846e-8","pagerankHybrid"
"32","web-Google","916428","5105039","116.862","61","0","pagerankUniform"
"32","web-Google","916428","5105039","161.919","61","2.3067e-8","pagerankHybrid"
"48","web-Google","916428","5105039","136.516","61","0","pagerankUniform"
"48","web-Google","916428","5105039","161.865","61","5.3046e-8","pagerankHybrid"
"2","web-NotreDame","325729","1497134","127.961","56","0","pagerankUniform"
"2","web-NotreDame","325729","1497134","134.527","56","1.0974e-9","pagerankHybrid"
"4","web-NotreDame","325729","1497134","70.703","57","0","pagerankUniform"
"4","web-NotreDame","325729","1497134","81.472","57","7.7362e-8","pagerankHybrid"
"8","web-NotreDame","325729","1497134","45.614","56","0","pagerankUniform"
"8","web-NotreDame","325729","1497134","58.422","57","8.8262e-7","pagerankHybrid"
"16","web-NotreDame","325729","1497134","27.401","57","0","pagerankUniform"
"16","web-NotreDame","325729","1497134","41.77","57","7.8064e-8","pagerankHybrid"
"28","web-NotreDame","325729","1497134","34.92","57","0","pagerankUniform"
"28","web-NotreDame","325729","1497134","49.406","57","1.4462e-7","pagerankHybrid"
"32","web-NotreDame","325729","1497134","29.91","58","0","pagerankUniform"
"32","web-NotreDame","325729","1497134","44.518","58","7.3607e-8","pagerankHybrid"
"48","web-NotreDame","325729","1497134","42.922","57","0","pagerankUniform"
"48","web-NotreDame","325729","1497134","47.288","58","9.3681e-7","pagerankHybrid"
"2","soc-Slashdot0811","77360","905468","53.854","54","0","pagerankUniform"
"2","soc-Slashdot0811","77360","905468","57.034","54","0","pagerankHybrid"
"4","soc-Slashdot0811","77360","905468","33.634","54","0","pagerankUniform"
"4","soc-Slashdot0811","77360","905468","35.53","54","0","pagerankHybrid"
"8","soc-Slashdot0811","77360","905468","25.139","54","0","pagerankUniform"
"8","soc-Slashdot0811","77360","905468","28.094","54","0","pagerankHybrid"
"16","soc-Slashdot0811","77360","905468","22.192","54","0","pagerankUniform"
"16","soc-Slashdot0811","77360","905468","24.833","54","0","pagerankHybrid"
"28","soc-Slashdot0811","77360","905468","23.528","54","0","pagerankUniform"
"28","soc-Slashdot0811","77360","905468","26.466","54","0","pagerankHybrid"
"32","soc-Slashdot0811","77360","905468","26.043","54","0","pagerankUniform"
"32","soc-Slashdot0811","77360","905468","27.877","54","0","pagerankHybrid"
"48","soc-Slashdot0811","77360","905468","44.038","54","0","pagerankUniform"
"48","soc-Slashdot0811","77360","905468","28.499","54","0","pagerankHybrid"
